I'm 19.	J'ai 19 ans.
You're smarter than me.	Tu es plus intelligente que moi.
I'm going shopping tomorrow.	Je vais faire des courses demain.
You're very upset.	Tu es très contrariée.
I am glad to help you.	Je suis ravi de vous aider.
I'm not the boss.	Je ne suis pas le patron.
He is good at driving.	C'est un bon conducteur.
I am yours and you are mine.	Je suis vôtre et vous êtes miens.
I am not your enemy.	Je ne suis pas ton ennemi.
He is very angry.	Il est très en colère.
She's six years older than I am.	Elle a six ans de plus que moi.
She's teaching us French.	Elle nous apprend le français.
You're depressed, aren't you?	Tu es déprimé, n'est-ce pas ?
You're psychic.	Tu es voyante.
I'm afraid for his life.	Je crains pour sa vie.
I'm not a liar.	Je ne suis pas un menteur.
He isn't married.	Il n'est pas marié.
You're famous.	Vous êtes connue.
I'm going back to college.	Je retourne en fac.
You are taller than me.	Tu es plus grande que moi.
We're not dead yet.	Nous ne sommes pas encore morts.
You're the teacher.	C'est toi la prof.
You're too hard on yourself.	Vous êtes trop dure avec vous.
They're all bad.	Ils sont tous mauvais.
I am sure of her success.	Je suis certaine de son succès.
I'm really busy, Tom.	Je suis très occupé, Tom.
I'm pretty happy.	Je suis assez heureuse.
You're in grave danger.	Tu es en grand danger.
You're all against me.	Vous êtes toutes contre moi.
He is afraid that he will die.	Il a peur de mourir.
He's two years older than Mary is.	Il est deux ans plus vieux que Mary.
You're amusing.	Vous me faites marrer.
You're really a hard worker.	Vous êtes vraiment âpre au travail.
We're just students.	Nous ne sommes que des étudiants.
You're not a child anymore.	Tu n'es plus un bébé.
I'm your partner.	Je suis votre partenaire.
You're too skinny.	Tu es trop maigre.
We're getting close.	Nous en approchons.
You're very kind, Tom.	Tu es très gentil, Tom.
I'm tired of Boston.	Je suis las de Boston.
He is fond of this kind of music.	Il aime beaucoup ce genre de musique.
He is a student.	C'est un étudiant.
He's not supposed to be here.	Il n'est pas supposé se trouver là.
You're very timid.	Vous êtes très peureuse.
I'm sorry, my father is out.	Je suis désolé, mon père est dehors.
I'm doing it in spite of you.	Je le fais malgré toi.
They're right behind you.	Elles se trouvent juste derrière vous.
He is at the office.	Il est au bureau.
I am on holiday this week.	Je suis en vacances cette semaine.
I'm glad to finally meet you.	Je me réjouis de t'avoir finalement rencontrée.
I'm just trying to be friendly.	J'essaie simplement d'être amical.
I'm all out of ideas.	Je suis dépourvue d'idées.
I'm kidding.	Je rigole !
She's just putting up a front.	Elle fait juste semblant.
You're wasting our time.	Tu nous fais perdre notre temps.
I'm as curious as you are.	Je suis aussi curieux que vous.
I'm sick and tired of reading.	Je suis fatigué de lire.
He is interested in music.	Il est intéressé par la musique.
You're very direct.	Vous êtes très direct.
She is good at playing tennis.	Elle est douée pour jouer au tennis.
You're the one who trained me.	Vous êtes celle qui m'a entraînée.
I'm not entirely sure.	Je n'en suis pas entièrement sûre.
You're free.	Vous êtes libre.
I'm happy enough.	Je suis assez content.
I'm not offended.	Je ne me sens pas offensé.
You are welcome to do anything you like.	Fais ce qu'il te plaît.
We're safe here.	Nous sommes en sécurité, ici.
You're not one of them, are you?	Vous n'êtes pas des leurs, si ?
They're very close friends.	Ce sont des amies très proches.
We're going.	Nous y allons.
I am off duty tomorrow.	Je suis libre demain.
I'm not allowed to help you.	Je ne suis pas autorisée à vous aider.
You're very intelligent.	Vous êtes très intelligentes.
I'm happy with it.	J'en suis heureux.
You're forgetful.	Tu es étourdi.
You're kidding!	Vous me faites marcher !
She is certain to pass the exam.	Elle est certaine de réussir les examens.
I'm not surprised.	Je ne suis pas surpris.
We're not cops.	Nous ne sommes pas flics.
They're coming.	Ils sont en train d'arriver.
He's not here yet.	Il n'est pas encore là.
You are no longer welcome here.	Vous n'êtes plus les bienvenus ici.
I'm learning French.	Je suis en train d'apprendre le français.
You're old.	Tu es vieux.
You're the one who trained me.	C'est toi qui m'as entraîné.
You are very brave.	Vous êtes très courageux.
I'm sick of your complaints.	J'en ai assez de tes récriminations.
I'm in no hurry to leave.	Je ne suis pas pressé de partir.
You are so stupid.	Vous êtes tellement idiote !
She is a doctor.	Elle est médecin.
He is popular with his men.	Il est aimé de ses hommes.
She said something to him.	Elle lui dit quelque chose.
They're different.	Elles sont différentes.
I am loved by my mother.	Je suis aimé de ma mère.
She is young.	Elle est jeune.
She's my classmate.	C'est ma camarade de classe.
You aren't invited.	Vous n'êtes pas invitée.
She's drop-dead gorgeous.	Elle est bonne à tomber.
We're contented.	Nous sommes satisfaits.
You're the oldest.	Vous êtes le plus vieux.
I'm interested in oriental pottery.	Je suis intéressée par la céramique orientale.
She's in the hospital now.	Elle est maintenant à l'hôpital.
You're kidding!	Vous plaisantez !
He is speaking English.	Il parle anglais.
I'm too tired to do study.	Je suis trop fatigué pour étudier.
He's here to protect you.	Il est là pour vous protéger.
I'm glad that makes you happy.	Je suis contente que ça te rende heureux.
You're very skeptical.	Vous êtes fort sceptique.
I'm not very happy, either.	Je ne suis pas très heureux non plus.
You're through.	Tu en as fini.
She is devoted to her children.	Elle est dévouée à ses enfants.
You're sitting in my chair.	Tu es assis sur ma chaise.
You're hurting him.	Vous lui faites mal.
I'm very serious.	Je suis très sérieuse.
She says that she is happy.	Elle dit qu'elle est heureuse.
I'm going to cook for you.	Je vais cuisiner pour vous.
You're lazy.	Vous êtes paresseuse.
I'm giving it back.	Je la rends.
They're waiting for you.	Elles t'attendent.
I'm not turning back.	Je ne vais pas faire demi-tour.
I'm sorry I yelled at you.	Je suis désolée de vous avoir hurlé dessus.
I'm glad to see you're happy.	Je me réjouis de vous voir heureuse.
I'm proud of my brother.	Je suis fier de mon frère.
You're resilient.	Vous êtes endurants.
I'm very much in favor of this.	Je suis très en faveur de cela.
I'm tired of everything.	Je suis fatiguée de tout.
I'm a married man now.	Je suis un homme marié maintenant.
They're doing it right.	Elles le font correctement.
You're on to something.	Tu es au courant de quelque chose.
You're safe.	Tu es sauve.
She is shy of strangers.	Elle est intimidée par les étrangers.
He's gone into hiding.	Il se cache.
I'm not entirely sure.	Je n'en suis pas entièrement sûr.
We're being blackmailed.	On nous fait chanter.
We're getting out of here.	Nous partons d'ici.
He is only a child.	Il n'est qu'un enfant.
I'm smarter than you.	Je suis plus astucieux que toi.
I'm not skinny.	Je ne suis pas maigrichonne.
I'm breaking up with my girlfriend tonight.	Je romps ce soir avec ma petite copine.
He's a liar.	C'est un menteur.
You are my father.	Tu es mon père.
She is used to traveling.	Elle a l'habitude de voyager.
I am in favor of your proposal.	Je suis en faveur de ta proposition.
I'm smarter than you.	Je suis plus dégourdi que vous.
I'm sure I turned off the gas.	Je suis certain d'avoir fermé le gaz.
You're an interesting girl.	Vous êtes une fille intéressante.
I am happy to meet you.	Je suis heureux de te voir.
I'm not the problem.	Le problème, ce n'est pas moi.
I'm a good cook.	Je suis un bon cuisinier.
I'm just an average girl.	Je suis juste une fille normale.
You're no doctor.	Vous n'êtes pas médecin.
You're nice.	Vous êtes sympa.
You're conscientious.	Vous êtes consciencieuses.
You're not normal.	Vous n'êtes pas normale.
I'm just trying to get by.	J'essaie simplement de m'en sortir.
She is a wonderful wife.	C'est une femme magnifique.
I'm pleased to see you.	Je suis ravi de vous voir.
You're my friend.	Tu es mon amie.
We're not cops.	Nous ne sommes pas des flics.
He's a very nice boy.	C'est un très gentil garçon.
We're all busy.	Nous sommes tous occupés.
He is my colleague.	C'est mon collègue.
You're faithful.	Vous êtes fidèle.
He's smoking more than ever.	Il fume plus que jamais.
I'm not a gambler.	Je ne suis pas joueur.
You're wealthy, aren't you?	Tu es riche, n'est-ce pas ?
I'm one of your students.	Je suis de vos élèves.
I am an electrician.	Je suis un électricien.
I'm glad you brought that up.	Je suis ravie que tu aies soulevé cela.
He is too young to go there alone.	Il est trop jeune pour y aller seul.
I'm ready to go.	Je suis prête pour partir.
You're a terrible person.	Tu es un horrible individu.
I'm taking care of it.	Je m'en occupe.
I'm leaving now.	Je pars maintenant.
You're not good at this.	Vous n'y êtes pas bon.
I'm feeling hungry.	J'ai faim.
You're correct.	Tu as raison.
She is no match for me.	Elle ne fait pas le poids avec moi.
I'm afraid I'm not available.	Je crains de ne pas être disponible.
She's wearing a cool hat.	Elle porte un chapeau sympa.
I'm not used to this heat.	Je ne suis pas habituée à cette chaleur.
I'm not interested in that.	Je n'y suis pas intéressé.
I'm not insane.	Je ne suis pas fou.
You're winning, aren't you?	Vous gagnez, n'est-ce pas ?
I'm not crazy.	Je ne suis pas fou.
He is suffering from a headache.	Il souffre d'un mal de tête.
We're all having lunch.	Nous sommes tous en train de dîner.
He's outraged.	Il est indigné.
I'm very much aware of the danger.	Je suis extrêmement consciente du danger.
I'm not in any danger.	Je ne cours pas le moindre danger.
I'm a careful man.	Je suis un homme prudent.
You're pretty good.	Vous êtes plutôt bon.
We're quite tired.	Nous sommes assez fatigués.
He's too old for her.	Il est trop vieux pour elle.
They're kind of fun.	Elles sont plutôt marrantes.
You're right, I think.	Tu as raison, je pense.
You're very curious.	Tu es très curieuse.
You're joking, of course.	Tu plaisantes, bien sûr.
You're on the wrong ship.	Tu es sur le mauvais bateau.
You're right, I think.	Je pense que tu as raison.
You are in part responsible for it.	Tu en es en partie responsable.
You're not good at this.	Tu n'y es pas bon.
He's about to go.	Il est sur le point de partir.
She is certainly above forty.	Elle a certainement plus de quarante ans.
I'm surprised you didn't know that.	Je suis surprise que vous ignoriez cela.
I'm a patient.	Je suis une patiente.
I'm getting sleepy again.	Je commence à avoir à nouveau sommeil.
We're all done here.	Nous en avons complètement terminé ici.
I'm all yours.	Je suis tout à toi.
I am coming.	J'arrive.
He is a critic rather than a novelist.	Il est critique plutôt que romancier.
I'm very strict.	Je suis très strict.
You're overworked.	Vous êtes surmenée.
He's taking a shower.	Il est en train de prendre une douche.
You're not that smart.	Tu n'es pas si maline.
I am sure of her success.	Je suis sûr de son succès.
We're not invited.	Nous ne sommes pas invitées.
You're wasting time.	Tu gaspilles du temps.
I am Italian.	Je suis italien.
She's very tall.	Elle est très grande.
You're going too far.	Tu vas trop loin.
You're never too old to learn.	Mieux vaut tard que jamais.
You're very upset.	Tu es fort contrarié.
She saw many animals on the way.	En chemin, elle a vu beaucoup d'animaux.
I'm perfectly happy.	Je suis parfaitement heureuse.
I'm not done.	Je n'en ai pas terminé.
She's in a bad mood.	Elle est de mauvaise humeur.
We're through.	Nous en avons fini.
I'm sorry I yelled at you.	Je suis désolé de vous avoir crié après.
I am eating an apple.	Je mange une pomme.
You're demented.	Tu es fou.
You're the one who trained me.	C'est vous qui m'avez formé.
I'm doing this for my family.	Je le fais pour ma famille.
I'm tired of playing games.	J'en ai assez de jouer.
We're trapped.	Nous sommes piégés.
He is always prepared.	Il est toujours prêt.
You're too trusting.	Tu es trop confiant.
You're very tall.	Vous êtes très grande.
You're the teacher.	C'est toi l'enseignante.
We are pretty much in agreement.	Je suis assez d'accord avec vous.
I'm still married.	Je suis encore marié.
They're going to have a look.	Ils vont jeter un coup d'œil.
They're young and healthy.	Elles sont jeunes et en bonne santé.
I'm not finished with him.	Je n'en ai pas fini avec lui.
I'm going home now.	Je vais à la maison maintenant.
You are in part responsible for it.	Vous en êtes en partie responsables.
They're all against me.	Elles sont toutes contre moi.
I'm going to be your lawyer.	Je vais être votre avocat.
I'm very impressed.	Je suis fort impressionnée.
You're absolutely right.	Vous avez parfaitement raison.
You are the one.	Vous êtes celle-là.
I'm afraid I have work to do.	Je crains d'avoir du travail à faire.
You're ambitious.	Vous êtes ambitieuse.
I'm not sure.	Je n'en suis pas certain.
She's not in the mood.	Elle n'est pas d'humeur.
You're doing an excellent job.	Vous faites un excellent travail.
He is my teacher.	C'est mon professeur.
I'm glad you could be here.	Je suis contente que vous soyez là.
We're here.	Nous sommes ici.
You're very good.	Vous êtes très bon.
They're all nuts.	Ils sont tous dingues.
She is his friend.	Elle est son amie.
We're going to have so much fun.	Nous allons beaucoup nous amuser.
They're not all busy.	Elles ne sont pas toutes occupées.
We are short of money.	Nous sommes à court d'argent.
You're ambitious.	Vous êtes ambitieux.
She is poor, but she is happy.	Elle est pauvre, mais elle est heureuse.
She is a very good teacher.	Elle est un très bon professeur.
I'm not offended.	Je ne me sens pas offensée.
You're not dead yet.	Vous n'êtes pas encore mortes.
I'm all yours.	Je suis toute à vous.
I'm too old for this.	Je suis trop vieux pour ça.
They're not happy.	Ils ne sont pas satisfaits.
I am a Muslim.	Je suis Musulman.
You are a good person.	Vous êtes une bonne fille.
He's a lovely young man.	C'est un jeune homme adorable.
I'm getting married next Sunday.	Je me marie dimanche prochain.
He is fluent in English.	Il parle anglais couramment.
I'm very fortunate.	J'ai la baraka.
He is a methodical person.	Il est méthodique.
He is afraid to swim.	Il a peur de nager.
I'm still studying French.	J'étudie toujours le français.
I am going to write a letter tomorrow.	Je vais écrire une lettre demain.
She is about my age.	Elle a à peu près mon âge.
I'm sorry, I don't recognize you.	Je suis désolé, je ne te reconnais pas.
I am 18 years old.	J'ai dix-huit ans.
He is acquainted with my wife.	C'est une connaissance de ma femme.
We're too vulnerable.	Nous sommes trop vulnérables.
We're a little busy here.	Nous sommes un peu occupés ici.
I'm no friend of yours.	Je ne suis pas ton ami.
I'm right behind him.	Je suis juste derrière lui.
You are very attractive in blue.	Le bleu vous va très bien.
He is busy with his work.	Il est occupé avec son travail.
She saw him driving his new car.	Elle l'a vu conduire sa nouvelle voiture.
You're young.	Vous êtes jeune.
I'm not normal.	Je ne suis pas normal.
You're too trusting.	Vous êtes trop confiant.
You are big.	Vous êtes grand.
You are not a student.	Tu n'es pas un étudiant.
She is a beauty.	C'est une beauté.
We're waiting for you to leave.	Nous attendons que tu sois parti.
I am responsible for the mistake.	Je suis responsable de cette erreur.
I'm done with you.	J'en ai fini avec toi.
We're all together right now.	Nous sommes tous ensemble, à l'instant.
We're not ready for this.	Nous n'y sommes pas prêts.
You're absolutely right.	Tu as parfaitement raison.
I am almost scared to talk with you.	Je suis presque effrayé de vous parler.
You're afraid, aren't you?	Vous avez peur, pas vrai ?
You are a doctor.	Tu es toubib.
They're part of us.	Elles font partie de nous.
I'm not selling you my car.	Je ne te vends pas ma voiture.
I'm sick of this war.	J'en ai marre de cette guerre.
She's well known as a singer.	Elle est bien connue en tant que chanteuse.
I'm strong enough.	Je suis suffisamment forte.
He is generous with his money.	Il est généreux avec son argent.
We're kidding.	Nous plaisantons.
He's too old for me.	Il est trop vieux pour moi.
She is not anything like her mother.	Elle est toute différente de sa mère.
You're a snob.	Vous êtes snob.
She is very fond of flowers.	Elle aime beaucoup les fleurs.
She is working on the problem.	Elle travaille sur le problème.
He's here for me.	Il est là pour moi.
I am totally confused.	Je suis complètement confus.
I am waiting my turn.	J'attends mon tour.
I'm going.	Je pars.
You're early.	Tu es matinal.
He is proud of being a musician.	Il est fier d'être musicien.
He's wide awake.	Il est tout à fait éveillé.
You are good.	Vous êtes bons.
I'm certainly not your friend.	Je ne suis certainement pas votre ami.
I'm glad that you'll come.	Je suis heureux que vous veniez.
You're not like me.	Vous n'êtes pas comme moi.
She is used to living alone.	Elle est habituée à vivre seule.
I'm leaving town for a few days.	Je quitte la ville pour quelques jours.
I'm sure he'll leave early.	Je suis sûre qu'il partira tôt.
We're too late.	Nous sommes trop en retard.
He is a good singer.	C'est un bon chanteur.
I'm sorry to bother you so often.	Je suis désolée de vous déranger si souvent.
He's looking at you.	Il est en train de vous regarder.
I'm afraid I've got bad news.	Je crains d'avoir de mauvaises nouvelles.
You are really very good.	Vous êtes vraiment très bons.
They're too fat.	Ils sont trop gras.
He is not guilty of murder.	Il n'est pas coupable de meurtre.
I'm aware of all that.	Je suis conscient de tout cela.
I am very glad to see you.	Je suis très heureux de te voir.
We're friends now.	Nous sommes désormais amis.
I'm not that stupid!	Je ne suis pas stupide à ce point !
You're not the only woman here.	Tu n'es pas la seule femme ici.
He is playing music.	Il joue de la musique.
I'm going to tell you a secret.	Je vais vous dire un secret.
I'm still your friend.	Je suis toujours votre amie.
I'm right here.	Je suis juste ici.
You are such a sweetheart.	Vous êtes tellement adorable !
We're all in this together.	Nous sommes tous sur le même bateau.
I'm kind of busy tonight.	Je suis plutôt occupée, ce soir.
You're not one of us.	Tu n'es pas des nôtres.
We're not done.	Nous n'en avons pas fini.
They're wrong.	Ils ont tort !
You're not the only one.	Tu n'es pas le seul.
They're amazing.	Ils sont incroyables.
They're hard to find.	Elles sont dures à trouver.
She is proud of her daughter.	Elle est fière de sa fille.
I'm not completely naive.	Je ne suis pas complètement naïf.
We're paying.	Nous sommes en train de payer.
I am interested in swimming.	Je m'intéresse à la natation.
I'm broke and tired.	Je suis ruiné et fatigué.
He's my best friend.	C'est mon meilleur ami.
You're very emotional.	Tu es très émotive.
I'm sick of you.	J'en ai marre de vous.
I'm smarter than you.	Je suis plus astucieuse que toi.
You're big.	Tu es grande.
I'm starting to feel desperate.	Je commence à me sentir désespérée.
You're powerful.	Vous êtes puissants.
She is more pretty than beautiful.	Elle est davantage mignonne que belle.
I'm old enough.	Je suis suffisamment vieux.
I am able to drive a car.	Je peux conduire une voiture.
You're thin.	Vous êtes mince.
You're the scapegoat.	Tu es le bouc émissaire.
I'm no longer hungry.	Je n'ai plus faim.
I am thinking of resigning at once.	Je songe à démissionner immédiatement.
I am an artist.	Je suis une artiste.
You're perfectly right.	Tu as parfaitement raison.
I am worried about him.	Je me fais du souci pour lui.
You're all set.	Vous êtes toutes prêtes.
He's in prison.	Il est en prison.
You're very generous.	Tu es fort généreux.
I am being paranoid, aren't I?	Je suis paranoïaque, non ?
I'm not alone.	Je ne suis pas seule.
They're very fond of him.	Ils l'adorent.
I'm very worried about you.	Je suis très inquiet à ton sujet.
He's my friend.	C’est mon ami.
I'm going to do some reading.	Je vais lire un peu.
You're punctual.	Tu es ponctuel.
I'm not scared to die.	Je ne crains pas de mourir.
We're not doing anything.	Nous ne faisons rien.
You are my daughter.	Tu es ma fille.
We are anxious about your health.	Nous sommes anxieux à propos de ta santé.
I'm by your side.	Je suis avec toi.
You are watching TV all the time.	Tu regardes tout le temps la télé.
They're very busy.	Ils sont très occupés.
I'm afraid you misunderstood me.	Je crains que tu m'aies mal compris.
I'm always proud of my family.	Je suis toujours fier de ma famille.
I'm sorry if I frightened you.	Je suis désolée si je vous ai effrayé.
I'm not sure about that.	Je n'en suis pas sûr.
I'm thirty years older than you.	J'ai trente ans de plus que toi.
I'm glad you liked it.	Je suis heureux que tu l'aies apprécié.
I'm not frightened of anything.	Je n'ai peur de rien.
You're very tall.	Vous êtes très grand.
She is always finding fault with other people.	Elle trouve toujours à redire aux autres.
I am going to America by plane.	Je vais en Amérique en avion.
You are a good boy.	T'es un bon garçon !
She is a wonderful woman.	C'est une femme magnifique.
I'm sorry if I frightened you.	Je suis désolée si je vous ai effrayées.
We're not mad.	Nous ne sommes pas fous.
You're all invited.	Vous êtes toutes invitées.
We're still here.	Nous sommes encore ici.
We're going to have to work together.	Nous allons avoir à travailler ensemble.
They're not home yet.	Elles ne sont pas encore chez elles.
I'm ordering you to leave immediately.	Je vous ordonne de partir immédiatement.
I'm very shy.	Je suis très timide.
I'm not rich.	Je ne suis pas riche.
We're all to blame for that.	Nous en sommes toutes responsables.
He is no longer a child.	Ce n'est plus un enfant.
You're a grown woman now.	Tu es une adulte maintenant.
You're in big trouble.	Tu as de gros problèmes.
I am suffering from a bad cold.	Je souffre d'un mauvais rhume.
I'm not feeling particularly hungry.	Je ne ressens pas particulièrement la faim.
I'm looking for a job.	Je cherche du travail.
She is on a diet to lose weight.	Elle fait un régime pour perdre du poids.
You are not kind.	Vous n'êtes pas gentil.
You're very flexible.	Vous êtes très flexibles.
I'm right, aren't I?	J'ai raison, non ?
You're a jolly good feller.	Vous êtes un sacré coco.
You're very brave.	Vous êtes très braves.
I'm not normal.	Je ne suis pas normale.
I'm not busy.	Je ne suis pas occupé.
You're very stylish.	Vous êtes très élégant.
I'm not that kind of girl.	Je ne suis pas cette sorte de fille.
You're not dead yet.	Vous n'êtes pas encore morts.
I'm as shocked as you are.	Je suis aussi choqué que vous.
You are mad.	Tu es fou.
He is very afraid of dogs.	Il a très peur des chiens.
I'm too tired to think.	Je suis trop fatiguée pour réfléchir.
I'm a pretty good student.	Je suis assez bonne étudiante.
I am not a teacher.	Je ne suis pas enseignant.
You're the only one for me now.	Tu es la seule pour moi désormais.
You're very talented.	Tu es plein de talent.
You're very brave.	Vous êtes très courageuses.
I am at home.	Je suis à la maison.
You're not a teenager yet.	Vous n'êtes pas encore adolescent.
You're half right.	Tu as à moitié raison.
We are in a library.	Nous sommes dans une bibliothèque.
They're all the same.	Ils sont tous les mêmes.
She is much taller than me.	Elle est bien plus grande que moi.
I'm too old for you.	Je suis trop vieille pour toi.
You're just a coward.	Tu n'es qu'un lâche.
I'm not all that drunk.	Je ne suis pas saoul à ce point.
She is my daughter.	C'est ma fille.
I'm still thinking about it.	J'y pense encore.
You're the best man for the job.	Tu es le meilleur pour le boulot.
I'm just lazy.	Je suis juste paresseuse.
She is a stranger to me.	Elle m'est étrangère.
I'm not at all tired.	Je ne suis pas du tout fatigué.
They're not all busy.	Ils ne sont pas tous occupés.
I'm no quitter.	Je n'abandonne pas si facilement.
They're mine.	Ce sont les miens.
I'm still thirsty.	J'ai toujours soif.
We're in trouble.	Nous sommes dans le pétrin.
You're forgiven.	Vous êtes pardonnée.
I'm busy, too.	Je suis également occupé.
They're mad at you.	Elles sont en colère après toi.
You're incorrigible.	Vous êtes incorrigible.
You're still alive.	Vous êtes toujours vivante.
He's gone into hiding.	Il se planque.
You are a bit fat.	Tu es un peu gras.
You are the one.	Vous êtes l'élue.
You're still alive.	Tu es toujours vivant.
You are too critical of others' shortcomings.	Tu es trop critique des défauts des autres.
You're alone, aren't you?	Vous êtes seul, n'est-ce pas ?
She is in a bad mood.	Elle est de mauvaise humeur.
She is a famous singer.	C'est une célèbre chanteuse.
You are a student.	Vous êtes une étudiante.
They're weak.	Elles sont faibles.
You're not dressed.	Vous n'êtes pas habillés.
I'm one of your students.	Je suis l'une de vos élèves.
I am too tired to keep on walking.	Je suis trop fatigué pour continuer de marcher.
You're lucky that you have a job.	Vous êtes chanceux d'avoir un travail.
I am not like you.	Je ne suis pas comme toi.
I'm very busy today.	Je suis très occupé aujourd'hui.
I'm having trouble sleeping.	J'ai du mal à dormir.
I'm a happy man.	Je suis un homme heureux.
I'm not well.	Je ne vais pas bien.
I am used to living alone.	Je suis habituée à vivre seule.
You're probably tired.	Tu es probablement fatigué.
You're a nervous wreck.	Tu es nerveusement usé.
He's too busy.	Il est trop occupé.
I am new here.	Je suis nouveau, ici.
You're winning, aren't you?	Tu gagnes, n'est-ce pas ?
I'm always happy.	Je suis toujours content.
I'm in a better mood now.	Je suis de meilleur humeur maintenant.
I am doing my homework.	Je suis en train de faire mes devoirs.
You're always complaining.	Tu te plains toujours.
I'm beginning to get curious.	Je commence à devenir curieux.
He's no saint.	Il n'est pas un saint.
I'm smarter than you.	Je suis plus intelligent que toi.
She saw him break the window.	Elle l'a vu briser la fenêtre.
They're just students.	Ce ne sont que des étudiants.
He is old enough to drive a car.	Il est assez âgé pour conduire une voiture.
You're good.	Tu es bon.
I'm leaving today.	Je pars aujourd'hui.
You are good.	Tu es bon.
She's one tough cookie.	C'est une dure-à-cuire.
I'm not shy.	Je ne suis pas timide.
I'm not really that old.	Je ne suis pas vraiment aussi vieux.
I'm fed up with English.	J'en ai assez de l'anglais.
I am after him.	Je suis après lui.
I'm sorry to have bothered you.	Je suis désolée de vous avoir dérangés !
We're all ears.	Nous sommes toute ouïe.
We're still married.	Nous sommes encore mariés.
I'm not going to stop working.	Je ne vais pas m'arrêter de travailler.
I'm definitely impressed.	Je suis très impressionnée.
I am glad to help you.	Je suis content de t'aider.
I'm fed up with him.	J'en ai marre de lui.
I'm not getting involved.	Je ne m'implique pas.
I'm about the same age as you.	J'ai environ le même âge que vous.
He is a painter.	C'est un peintre.
I'm not patient.	Je ne suis pas patient.
She's at work, isn't she?	Elle est au travail, n'est-ce pas ?
I'm going to see Tom.	Je vais voir Tom.
He is reading a book.	Il lit un livre.
I'm really hungry.	J'ai vraiment faim.
You're not alone.	Tu n'es pas seul.
I'm getting tired of losing.	Perdre me fatigue.
You're a funny guy.	Vous êtes un drôle d'oiseau.
He is sure of success.	Il est sûr de son succès.
We aren't very hungry yet.	Nous n'avons pas encore très faim.
I'm not angry.	Je ne suis pas en colère.
You are not our friend.	Tu n'es pas notre amie.
I'm sick of lying.	J'en ai marre de mentir.
You're not my friend.	Vous n'êtes pas mon ami.
I'm glad you brought that up.	Je suis ravi que tu aies soulevé cela.
I'm not afraid to try.	Je n'ai pas peur d'essayer.
You're not a millionaire.	Tu n'es pas millionnaire.
You are absolutely correct.	Vous avez parfaitement raison.
She saw him at the station.	Elle l'a vu à la gare.
You're the one who trained me.	Tu es celui qui m'a formé.
She is not only beautiful but also intelligent.	Elle est non seulement belle mais aussi intelligente.
I'm very comfortable.	Je suis très à l'aise.
I'm coming home.	J'arrive chez moi.
I'm very sleepy today, too.	Je suis très endormi aujourd'hui, également.
We're getting close.	Nous nous en approchons.
I'm often only half awake.	Je ne suis souvent qu'à moitié réveillé.
She's six years older than me.	Elle est six ans plus âgée que moi.
I'm not naive.	Je ne suis pas naïf.
I'm feeling good this morning.	Je me sens bien ce matin.
I'm not working for Tom.	Je ne travaille pas pour Tom.
We're not your enemy.	Nous ne sommes pas vos ennemis.
You are a good cook, aren't you?	Vous êtes bonne cuisinière, non ?
They're right behind you.	Ils sont juste derrière toi.
I'm going to be a teacher.	Je vais être enseignant.
He is reading a book.	Il est en train de lire un livre.
They're going to the war.	Ils vont à la guerre.
They're armed.	Ils sont armés.
You're the oldest.	C'est vous la plus vieille.
She's a very nice girl.	C'est une fille très gentille.
You're no saint.	Tu n'es pas un saint.
I'm not paid to do that.	Je ne suis pas payé pour faire cela.
I'm going shopping tomorrow.	Je vais demain faire des emplettes.
She said that it might be true.	Elle a dit que cela pouvait être vrai.
I'm tired of losing.	J'en ai marre de perdre.
You're not married, are you?	Tu n'es pas marié, si ?
I am very dangerous.	Je suis vraiment dangereux.
I am delighted to be here.	Je suis ravi d'être ici.
I'm touched.	Je suis touchée.
I'm pleased with their performance.	Je suis satisfait de leur prestation.
We're just talking.	Nous ne faisons que parler.
He is likely to win the game.	Il est probable qu'il gagne la partie.
You are the tallest of us all.	Tu es le plus grand de nous tous.
I am better than you.	Je suis meilleur que toi.
I'm mad at you.	Je suis en colère après vous.
You're going to be OK.	Tu vas te remettre.
We are next-door neighbors.	Nous sommes les voisins d'à côté.
She is taller than her sister.	Elle est plus grande que sa sœur.
You're very nice.	Vous êtes très gentil.
You're not my mother.	Vous n'êtes pas ma mère.
You're a total wreck.	Vous êtes une vraie loque.
He is independent of his parents.	Il est indépendant de ses parents.
You're jealous.	Tu es jalouse.
You are so childish sometimes.	Tu es parfois si puéril.
You are twice as strong as I am.	Vous êtes deux fois plus fort que moi.
You are not a doctor.	Vous n’êtes pas un médecin.
I'm proud of my father.	Je suis fier de mon père.
You're not married, are you?	Tu n'es pas mariée, si ?
He is far from perfect.	Il est loin d'être parfait.
I'm not surprised.	Je ne suis pas surprise.
I'm sad without you.	Sans toi, je suis triste.
She's lost her car key.	Elle a perdu la clé de sa voiture.
You're incredibly talented.	Tu es incroyablement talentueuse.
You're grounded.	Vous êtes terre-à-terre.
You're the teacher.	Tu es le professeur.
I'm sure you're very busy.	Je suis sûr que tu es très occupée.
They're early.	Elles sont en avance.
You are dreaming.	Vous êtes en train de rêver.
I am prepared for the worst.	Je suis prêt pour le pire.
I'm glad we did that.	Je me réjouis que nous l'ayons fait.
He's a professor of biology at Harvard.	Il est professeur de biologie à Harvard.
We're out of stock.	Nous sommes à court.
We're not sure.	Nous n'en sommes pas sûres.
